task_id,worker_cap,stage,observed_sec,estimated_sec,call_sum_sec,noncall_overhead_sec,attempt_count,max_same_depth_modules
devs_gen-glm-ABP-run_01,1,1,258.2,258.2,258.144,0.056,1,4
devs_gen-glm-ABP-run_01,1,2,81.5,81.5,81.469,0.031,1,4
devs_gen-glm-ABP-run_01,1,full_generation,367.13,367.13,,,1,4
devs_gen-glm-ABP-run_01,2,1,258.2,237.393,258.144,0.056,1,4
devs_gen-glm-ABP-run_01,2,2,81.5,66.099,81.469,0.031,1,4
devs_gen-glm-ABP-run_01,2,full_generation,367.13,330.922,,,1,4
devs_gen-glm-ABP-run_01,4,1,258.2,233.871,258.144,0.056,1,4
devs_gen-glm-ABP-run_01,4,2,81.5,66.099,81.469,0.031,1,4
devs_gen-glm-ABP-run_01,4,full_generation,367.13,327.4,,,1,4
devs_gen-glm-ABP-run_01,8,1,258.2,233.871,258.144,0.056,1,4
devs_gen-glm-ABP-run_01,8,2,81.5,66.099,81.469,0.031,1,4
devs_gen-glm-ABP-run_01,8,full_generation,367.13,327.4,,,1,4
devs_gen-glm-SA-run_01,1,1,324.0,324.0,323.986,0.014,1,5
devs_gen-glm-SA-run_01,1,2,42.3,42.3,42.206,0.094,1,5
devs_gen-glm-SA-run_01,1,full_generation,396.18,396.18,,,1,5
devs_gen-glm-SA-run_01,2,1,324.0,265.834,323.986,0.014,1,5
devs_gen-glm-SA-run_01,2,2,42.3,25.881,42.206,0.094,1,5
devs_gen-glm-SA-run_01,2,full_generation,396.18,321.595,,,1,5
devs_gen-glm-SA-run_01,4,1,324.0,240.059,323.986,0.014,1,5
devs_gen-glm-SA-run_01,4,2,42.3,21.096,42.206,0.094,1,5
devs_gen-glm-SA-run_01,4,full_generation,396.18,291.035,,,1,5
devs_gen-glm-SA-run_01,8,1,324.0,240.059,323.986,0.014,1,5
devs_gen-glm-SA-run_01,8,2,42.3,21.096,42.206,0.094,1,5
devs_gen-glm-SA-run_01,8,full_generation,396.18,291.035,,,1,5
devs_gen-glm-barbershop-run_01,1,1,303.6,303.6,303.533,0.067,1,4
devs_gen-glm-barbershop-run_01,1,2,36.0,36.0,35.932,0.068,1,4
devs_gen-glm-barbershop-run_01,1,full_generation,405.58,405.58,,,1,4
devs_gen-glm-barbershop-run_01,2,1,303.6,260.456,303.533,0.067,1,4
devs_gen-glm-barbershop-run_01,2,2,36.0,22.12,35.932,0.068,1,4
devs_gen-glm-barbershop-run_01,2,full_generation,405.58,348.556,,,1,4
devs_gen-glm-barbershop-run_01,4,1,303.6,232.236,303.533,0.067,1,4
devs_gen-glm-barbershop-run_01,4,2,36.0,15.193,35.932,0.068,1,4
devs_gen-glm-barbershop-run_01,4,full_generation,405.58,313.409,,,1,4
devs_gen-glm-barbershop-run_01,8,1,303.6,232.236,303.533,0.067,1,4
devs_gen-glm-barbershop-run_01,8,2,36.0,15.193,35.932,0.068,1,4
devs_gen-glm-barbershop-run_01,8,full_generation,405.58,313.409,,,1,4
devs_gen-glm-SEIRD-run_01,1,1,98.8,98.8,98.786,0.014,1,1
devs_gen-glm-SEIRD-run_01,1,2,10.4,10.4,10.414,-0.014,1,1
devs_gen-glm-SEIRD-run_01,1,full_generation,139.79,139.79,,,1,1
devs_gen-glm-SEIRD-run_01,2,1,98.8,98.8,98.786,0.014,1,1
devs_gen-glm-SEIRD-run_01,2,2,10.4,10.4,10.414,-0.014,1,1
devs_gen-glm-SEIRD-run_01,2,full_generation,139.79,139.79,,,1,1
devs_gen-glm-SEIRD-run_01,4,1,98.8,98.8,98.786,0.014,1,1
devs_gen-glm-SEIRD-run_01,4,2,10.4,10.4,10.414,-0.014,1,1
devs_gen-glm-SEIRD-run_01,4,full_generation,139.79,139.79,,,1,1
devs_gen-glm-SEIRD-run_01,8,1,98.8,98.8,98.786,0.014,1,1
devs_gen-glm-SEIRD-run_01,8,2,10.4,10.4,10.414,-0.014,1,1
devs_gen-glm-SEIRD-run_01,8,full_generation,139.79,139.79,,,1,1
devs_gen-glm-OTrain-run_01,1,1,507.5,507.5,507.419,0.081,2,2
devs_gen-glm-OTrain-run_01,1,2,84.1,84.1,84.033,0.067,2,2
devs_gen-glm-OTrain-run_01,1,full_generation,627.47,627.47,,,2,2
devs_gen-glm-OTrain-run_01,2,1,507.5,460.29,507.419,0.081,2,2
devs_gen-glm-OTrain-run_01,2,2,84.1,66.764,84.033,0.067,2,2
devs_gen-glm-OTrain-run_01,2,full_generation,627.47,562.924,,,2,2
devs_gen-glm-OTrain-run_01,4,1,507.5,460.29,507.419,0.081,2,2
devs_gen-glm-OTrain-run_01,4,2,84.1,66.764,84.033,0.067,2,2
devs_gen-glm-OTrain-run_01,4,full_generation,627.47,562.924,,,2,2
devs_gen-glm-OTrain-run_01,8,1,507.5,460.29,507.419,0.081,2,2
devs_gen-glm-OTrain-run_01,8,2,84.1,66.764,84.033,0.067,2,2
devs_gen-glm-OTrain-run_01,8,full_generation,627.47,562.924,,,2,2
devs_gen-glm-oft-run_01,1,1,389.2,389.2,387.156,2.044,1,6
devs_gen-glm-oft-run_01,1,2,77.4,77.4,77.243,0.157,1,6
devs_gen-glm-oft-run_01,1,full_generation,547.57,547.57,,,1,6
devs_gen-glm-oft-run_01,2,1,389.2,262.96,387.156,2.044,1,6
devs_gen-glm-oft-run_01,2,2,77.4,43.218,77.243,0.157,1,6
devs_gen-glm-oft-run_01,2,full_generation,547.57,387.148,,,1,6
devs_gen-glm-oft-run_01,4,1,389.2,219.906,387.156,2.044,1,6
devs_gen-glm-oft-run_01,4,2,77.4,30.27,77.243,0.157,1,6
devs_gen-glm-oft-run_01,4,full_generation,547.57,331.146,,,1,6
devs_gen-glm-oft-run_01,8,1,389.2,219.906,387.156,2.044,1,6
devs_gen-glm-oft-run_01,8,2,77.4,30.27,77.243,0.157,1,6
devs_gen-glm-oft-run_01,8,full_generation,547.57,331.146,,,1,6
devs_gen-glm-IOBS-run_01,1,1,336.4,336.4,336.385,0.015,4,6
devs_gen-glm-IOBS-run_01,1,2,45.9,45.9,45.845,0.055,4,6
devs_gen-glm-IOBS-run_01,1,full_generation,408.08,408.08,,,4,6
devs_gen-glm-IOBS-run_01,2,1,336.4,271.082,336.385,0.015,4,6
devs_gen-glm-IOBS-run_01,2,2,45.9,28.964,45.845,0.055,4,6
devs_gen-glm-IOBS-run_01,2,full_generation,408.08,325.826,,,4,6
devs_gen-glm-IOBS-run_01,4,1,336.4,234.369,336.385,0.015,4,6
devs_gen-glm-IOBS-run_01,4,2,45.9,22.183,45.845,0.055,4,6
devs_gen-glm-IOBS-run_01,4,full_generation,408.08,282.332,,,4,6
devs_gen-glm-IOBS-run_01,8,1,336.4,234.369,336.385,0.015,4,6
devs_gen-glm-IOBS-run_01,8,2,45.9,18.142,45.845,0.055,4,6
devs_gen-glm-IOBS-run_01,8,full_generation,408.08,278.291,,,4,6
devs_gen-glm-HouseHeating-run_01,1,1,180.2,180.2,180.146,0.054,1,2
devs_gen-glm-HouseHeating-run_01,1,2,18.6,18.6,18.586,0.014,1,2
devs_gen-glm-HouseHeating-run_01,1,full_generation,225.84,225.84,,,1,2
devs_gen-glm-HouseHeating-run_01,2,1,180.2,165.741,180.146,0.054,1,2
devs_gen-glm-HouseHeating-run_01,2,2,18.6,11.355,18.586,0.014,1,2
devs_gen-glm-HouseHeating-run_01,2,full_generation,225.84,204.136,,,1,2
devs_gen-glm-HouseHeating-run_01,4,1,180.2,165.741,180.146,0.054,1,2
devs_gen-glm-HouseHeating-run_01,4,2,18.6,11.355,18.586,0.014,1,2
